X,Y,Z,formation
60500,103500,-283.6,o1
38500,105500,-338.2,o1
16500,107500,-412.4,o1
62500,109000,-247.4,o1
40500,111000,-288,o1
18500,113000,-334.4,o1
64500,114500,-199.2,o1
42500,116500,-238.5,o1
20500,118500,-275.9,o1
66500,120000,-176.6,o1
44500,122000,-194,o1
22500,124000,-235.9,o1
68500,125500,-165.6,o1
46500,127500,-162.5,o1
24500,129500,-202.3,o1
2500,131500,-208.5,o1
48500,133000,-140.3,o1
