X,Y,Z,Porosity,Attr,AI,Sequence,Well
41600,74700,-335.66,50.6,0.6491413100650856,3485103.9999999995,m58,m27
41600,74700,-337.16,40.5,0.6420320301526871,,m58,m27
41600,74700,-337.16,39.5,0.6420320301526871,,m58,m27
41600,74700,-338.89,39.7,0.6716956301142563,3289068.0,m58,m27
41600,74700,-339.3,33.7,0.6788814492468632,3085397.0,m58,m27
41600,74700,-339.55,36.1,0.6832630462789404,,m58,m27
41600,74700,-339.83,32.0,0.6881704349548663,4032590.0,m58,m27
41600,74700,-341.64,33.7,0.7476433174686361,3482070.0,m58,m27
41600,74700,-344.87,38.5,0.8320890447802644,3337440.0,m58,m27
41600,74700,-348.07,37.8,0.8283868615210649,,m58,m27
41600,74700,-350.66,41.5,0.806281582420446,,m58,m27
41600,74700,-354.5,42.1,0.8111147938885032,3759264.0,m58,m27
41600,74700,-355.23,31.1,0.8004764868028152,3621156.0,m58,m27
41600,74700,-356.56,41.1,0.781094365674097,,m58,m27
41600,74700,-360.08,32.6,0.7659580972160208,4150776.0,m58,m27
41600,74700,-366.64,38.2,0.8803061310910621,3625020.0,m58,m27
41600,74700,-369.22,45.0,0.8645150879017388,,m58,m27
41600,74700,-372.12,48.1,0.8236904218003218,3132378.0,m58,m27
41600,74700,-373.2,51.0,0.8126513445519351,,m58,m27
41600,74700,-375.16,45.3,0.7934302900810497,3051089.9999999995,m58,m27
41600,74700,-376.66,44.1,0.7802140788980563,3376633.0,m58,m27
41600,74700,-378.21,38.2,0.7656608856010663,3665480.0,m58,m27
41600,74700,-379.71,41.0,0.7506512244765216,,m58,m27
41600,74700,-381.91,39.1,0.7177159163351479,3611102.0,m58,m27
41600,74700,-382.76,38.5,0.7033100599839254,3347553.0,m58,m27
41600,74700,-384.31,40.4,0.6755335243704192,3410343.0,m58,m27
41600,74700,-385.81,39.0,0.6480503881854326,3300528.0,m58,m27
41600,74700,-387.27,39.6,0.636162078379533,3257245.0,m58,m27
41600,74700,-389.49,41.0,0.6321059024459319,3292498.0,m58,m27
41600,74700,-390.2,42.4,0.6397826357375432,3441272.0,m58,m27
41600,74700,-391.75,55.4,0.6565417013741602,3374387.9999999995,m58,m27
41600,74700,-393.91,27.4,0.7148823130355587,,m58,m27
41600,74700,-397.0,40.6,0.8126112836819959,3527132.0,m58,m27
41600,74700,-399.81,29.5,0.8688931318468744,3575844.0,m58,m27
41600,74700,-402.99,39.8,0.8800705139696683,3327899.0,m58,m27
41600,74700,-404.15,39.9,0.877734425139638,,m58,m27
41600,74700,-405.44,38.2,0.8739220356955937,2894140.0,m58,m27
41600,74700,-408.71,41.5,0.8841939009475108,3425984.0,m58,m27
41600,74700,-410.22,38.3,0.8926069742788633,3563462.0,m58,m27
41600,74700,-411.74,41.5,0.9013440941733151,,m58,m27
41600,74700,-413.24,38.7,0.9001135937405742,,m58,m27
41600,74700,-414.96,38.2,0.895967017949866,,m58,m27
41600,74700,-416.46,38.7,0.8842787148735135,,m58,m27
41600,74700,-417.84,37.2,0.8740278776273552,,m58,m27
41600,74700,-419.34,39.9,0.8692511047231355,,m58,m27
41600,74700,-420.94,45.2,0.8658437439872,,m58,m27
41600,74700,-422.46,45.2,0.8687179531837215,,m58,m27
41600,74700,-423.91,47.0,0.8732014108034983,,m58,m27
41600,74700,-425.42,47.8,0.8822289562447151,3184344.0,m58,m27
41600,74700,-426.84,50.4,0.8907283416967228,,m58,m27
41600,74700,-428.84,53.5,0.9027266639453642,2729475.0,m58,m27
41600,74700,-430.26,49.9,0.9131024136311736,3063780.0,m58,m27
41600,74700,-432.28,47.9,0.9275377895981454,3093385.0,m58,m27
41600,74700,-433.99,48.3,0.9270542825772348,3308725.0,m58,m27
41600,74700,-434.95,49.7,0.9267828400391797,3293925.0,m58,m27
41600,74700,-436.79,50.0,0.8946455327686579,3255194.9999999995,m58,m27
41600,74700,-437.82,48.0,0.8762638537743266,3279719.0,m58,m27
41600,74700,-439.42,49.2,0.8527758851743186,3307452.0,m58,m27
41600,74700,-440.7,48.5,0.8341063612490474,3193200.0,m58,m27
41600,74700,-442.81,48.6,0.826574307233171,3387860.0,m58,m27
41600,74700,-444.01,51.1,0.8259434596617762,3368040.0,m58,m27
41600,74700,-445.58,49.0,0.8342752394696616,3114290.0,m58,m27
41600,74700,-448.35,51.8,0.8498414477333083,3237130.0,m58,m27
41600,74700,-449.85,55.7,0.8573051594856681,,m58,m27
41600,74700,-451.4,51.7,0.8623703768308163,2988567.0,m58,m27
41600,74700,-452.91,54.6,0.8645592021536392,3070322.0,m58,m27
41600,74700,-454.35,53.8,0.8632858814821303,3200834.0,m58,m27
41600,74700,-455.86,49.6,0.8554766334401005,3444664.0,m58,m27
41600,74700,-457.48,55.1,0.8397707500717458,3003636.0,m58,m27
41600,74700,-458.96,56.5,0.803283695965669,3130020.0,m58,m27
41600,74700,-460.66,50.9,0.7475294538555722,3249165.0,m58,m27
41600,74700,-462.05,57.4,0.6841989814004548,3161856.0,m58,m27
41600,74700,-463.52,58.9,0.6137300109408745,2793204.0,m58,m27
41600,74700,-464.62,53.3,0.5793125093979873,,m58,m27
41600,74700,-466.68,54.9,0.5256009772306772,2185146.0,m58,m27
41600,74700,-466.69,54.4,0.5256284590648163,2539882.0,m58,m27
41600,74700,-468.31,54.0,0.5300805161953307,3133509.0,m58,m27
41600,74700,-469.47,48.6,0.5332684089554522,3431232.0,m58,m27
41600,74700,-469.69,48.0,0.542040718880373,3456365.0,m58,m27
41600,74700,-471.19,42.5,0.6133368926674108,3387010.0,m58,m27
41600,74700,-473.05,41.6,0.7106387859292219,,m58,m27
41600,74700,-474.3,38.5,0.7867487795203459,,m58,m27
41600,74700,-475.96,42.6,0.8485939862446544,3480912.0,m58,m27
41600,74700,-477.5,44.9,0.8559870088556263,3512300.0,m58,m27
41600,74700,-479.01,43.1,0.8625836566124404,3995238.0,m58,m27
41600,74700,-480.51,43.0,0.8686636962002043,3798993.0,m58,m27
41600,74700,-481.91,40.9,0.8833206044563293,,m58,m27
41600,74700,-483.44,40.2,0.904852228985677,3586460.0,m58,m27
41600,74700,-484.94,42.2,0.916310729120111,3716752.0,m58,m27
41600,74700,-487.09,42.1,0.9199553172798594,3651560.0,m58,m27
41600,74700,-488.01,45.3,0.9049642613930234,,m58,m27
41600,74700,-489.78,37.6,0.8769351232846365,3818206.0,m6,m27
41600,74700,-491.68,37.6,0.8572396911290122,,m6,m27
41600,74700,-492.79,37.1,0.8504478434598727,,m6,m27
41600,74700,-493.28,27.6,0.8539071911895679,,m6,m27
41600,74700,-493.97,44.2,0.8587785175844459,,m6,m27
41600,74700,-494.51,34.6,0.8625908599804368,,m6,m27
41600,74700,-495.57,43.5,0.8713246267699496,,m6,m27
41600,74700,-497.35,39.7,0.8966769801717085,,m6,m27
41600,74700,-498.61,39.3,0.911852853696592,,m6,m27
41600,74700,-499.96,38.5,0.9200027027496592,,m6,m27
41600,74700,-500.21,37.1,0.9215119340557829,,m6,m27
41600,74700,-501.66,44.5,0.9291654127582749,3456420.0,m6,m27
41600,74700,-502.91,35.1,0.9340211387537437,,m6,m27
41600,74700,-504.65,38.0,0.9382198475128768,4156568.0,m6,m27
41600,74700,-506.52,42.2,0.9378184424335803,,m6,m27
41600,74700,-506.99,43.9,0.9375536723087932,4097065.5,m6,m27
41600,74700,-508.49,39.8,0.9344426401814185,3593018.5,m6,m27
41600,74700,-513.46,39.0,0.9361949727511109,3648920.0,o1,m27
41600,74700,-513.62,41.2,0.9350000921674205,,o1,m27
41600,74700,-515.82,42.7,0.9110752680154331,,o1,m27
41600,74700,-517.34,36.2,0.860261339168748,4054901.0,o1,m27
41600,74700,-517.43,36.6,0.8572526196975654,3684406.9999996037,o1,m27
41600,74700,-518.66,37.5,0.8167287992699257,,o1,m27
41600,74700,-518.92,44.9,0.8086506610995854,,o1,m27
41600,74700,-519.88,37.1,0.7788236893937116,,o1,m27
41600,74700,-521.64,35.0,0.7305078092281272,3946383.0,o1,m27
41600,74700,-523.14,35.8,0.7107499029914425,3630588.0,o1,m27
41600,74700,-525.24,36.2,0.7010347967894852,,o1,m27
41600,74700,-526.79,39.7,0.7063918402966098,3930412.5,o1,m27
41600,74700,-527.41,32.7,0.707246288882196,4377050.5,o1,m27
41600,74700,-527.56,32.5,0.707246288882196,,o1,m27
41600,74700,-528.91,37.0,0.707246288882196,3471722.0,o1,m27
40800,57800,-223.68,52.0,0.9205823574200271,3012288.0,m41,m28
40800,57800,-225.18,46.6,0.9056148774720124,3490876.0,m41,m28
40800,57800,-226.73,48.5,0.8877243270839823,,m41,m28
40800,57800,-228.05,51.8,0.8499394524225796,,m41,m28
40800,57800,-229.62,49.8,0.8043803956776445,3351955.0,m41,m28
40800,57800,-231.11,52.2,0.7488041140777453,3227190.0,m41,m28
40800,57800,-232.83,50.3,0.6916319428443406,3230864.0,m41,m28
40800,57800,-234.33,52.9,0.6692969482803409,3172341.0,m41,m28
40800,57800,-235.88,52.6,0.6647698595534953,3142347.0,m41,m28
40800,57800,-237.38,53.5,0.6991320092738429,3109080.0,m41,m28
40800,57800,-239.59,50.7,0.7751033506783616,,m41,m28
40800,57800,-240.88,50.1,0.8293419019102581,,m41,m28
40800,57800,-242.02,53.2,0.8656942042313169,3157480.0,m41,m28
40800,57800,-243.52,53.0,0.9089766694715496,,m41,m28
40800,57800,-245.8,42.4,0.9352624615287853,3614013.0,m5,m28
40800,57800,-246.7,38.6,0.9412737900632158,3721950.0,m5,m28
40800,57800,-248.03,48.8,0.9392716450151837,2955546.0,m5,m28
40800,57800,-249.53,50.3,0.9349031531454597,3167366.0,m5,m28
40800,57800,-251.65,58.7,0.9293408165276561,2983572.0,m5,m28
40800,57800,-253.73,58.4,0.9268617343142481,,m5,m28
40800,57800,-254.01,56.3,0.9268882645063078,2945544.0,m5,m28
40800,57800,-257.71,36.9,0.9131465893641392,3453630.0,m5,m28
40800,57800,-260.67,41.8,0.7706976255079407,3320385.0,m5,m28
40800,57800,-263.33,40.6,0.5779240810661399,3643820.0,m5,m28
40800,57800,-264.81,43.6,0.5043812086636372,3450912.0,m5,m28
40800,57800,-265.99,35.6,0.4846077113871756,3262256.0,m5,m28
40800,57800,-269.33,27.5,0.6102118051527539,3399437.9999999995,m5,m28
40800,57800,-272.21,44.2,0.7314055026273235,,m5,m28
40800,57800,-274.95,44.9,0.6497701828297545,3423797.9999999995,m54,m28
40800,57800,-275.3,55.2,0.633151276417065,3320800.0,m54,m28
40800,57800,-277.01,54.4,0.5896338744661602,,m54,m28
40800,57800,-278.34,44.7,0.5635988753329865,3526939.0,m54,m28
40800,57800,-279.84,50.2,0.6478148548967155,3433338.9999999995,m54,m28
40800,57800,-281.34,43.3,0.7491404743394627,,m54,m28
40800,57800,-284.34,44.8,0.8019225094082127,3477620.0,m54,m28
40800,57800,-287.68,49.5,0.6907060088564645,3258684.0,m54,m28
40800,57800,-290.65,49.5,0.754906350968099,3259168.0,m54,m28
40800,57800,-292.41,49.5,0.8215485702437745,2679768.0,m54,m28
40800,57800,-293.27,57.1,0.8384094847356788,,m54,m28
40800,57800,-296.75,56.5,0.8167814183485892,2868216.0,m54,m28
40800,57800,-297.73,54.6,0.8123236021857018,,m54,m28
40800,57800,-298.58,55.9,0.8084571289831977,,m54,m28
40800,57800,-298.68,52.9,0.8082454336365453,,m54,m28
40800,57800,-299.3,51.4,0.8236849013757316,,m54,m28
40800,57800,-299.67,54.9,0.8328987772846009,3099096.0,m54,m28
40800,57800,-301.14,50.8,0.8695052572468643,2813464.0,m54,m28
40800,57800,-303.25,59.8,0.8903575717915989,2848690.0,m54,m28
40800,57800,-304.7,52.8,0.8945898549097789,3075132.0,m54,m28
40800,57800,-306.59,58.0,0.8730020601900437,2777895.0,m54,m28
40800,57800,-307.36,58.4,0.8640113904047849,2761798.0,m54,m28
40800,57800,-309.26,56.4,0.8359892725248286,2968266.0,m54,m28
